file_name,label_1,label_2
00000_3_7.png,3,7
00001_0_5.png,0,5
00002_4_4.png,4,4
00003_5_9.png,5,9
00004_0_8.png,0,8
00005_5_6.png,5,6
00006_0_7.png,0,7
00007_0_3.png,0,3
00008_5_6.png,5,6
00009_8_8.png,8,8
00010_2_8.png,2,8
00011_2_5.png,2,5
00012_1_1.png,1,1
00013_1_1.png,1,1
00014_0_6.png,0,6
00015_4_9.png,4,9
00016_0_0.png,0,0
00017_5_8.png,5,8
00018_1_3.png,1,3
00019_7_8.png,7,8
00020_5_6.png,5,6
00021_3_6.png,3,6
00022_2_4.png,2,4
00023_5_9.png,5,9
00024_4_8.png,4,8
00025_4_9.png,4,9
00026_4_8.png,4,8
00027_1_9.png,1,9
00028_2_2.png,2,2
00029_6_6.png,6,6
00030_2_6.png,2,6
00031_1_6.png,1,6
00032_2_3.png,2,3
00033_4_8.png,4,8
00034_2_7.png,2,7
00035_3_6.png,3,6
00036_2_5.png,2,5
00037_3_5.png,3,5
00038_4_5.png,4,5
00039_0_1.png,0,1
00040_0_9.png,0,9
00041_3_8.png,3,8
00042_3_5.png,3,5
00043_2_6.png,2,6
00044_5_9.png,5,9
00045_0_7.png,0,7
00046_0_5.png,0,5
00047_3_5.png,3,5
00048_5_8.png,5,8
00049_2_8.png,2,8
00050_1_8.png,1,8
00051_5_5.png,5,5
00052_2_9.png,2,9
00053_6_9.png,6,9
00054_0_6.png,0,6
00055_0_1.png,0,1
00056_9_9.png,9,9
00057_4_7.png,4,7
00058_1_8.png,1,8
00059_2_7.png,2,7
00060_0_5.png,0,5
00061_4_7.png,4,7
00062_2_7.png,2,7
00063_3_6.png,3,6
00064_0_3.png,0,3
00065_0_5.png,0,5
00066_3_4.png,3,4
00067_3_5.png,3,5
00068_5_6.png,5,6
00069_1_6.png,1,6
00070_7_7.png,7,7
00071_2_9.png,2,9
00072_4_5.png,4,5
00073_1_7.png,1,7
00074_5_8.png,5,8
00075_2_6.png,2,6
00076_7_7.png,7,7
00077_5_9.png,5,9
00078_6_8.png,6,8
00079_0_1.png,0,1
00080_3_9.png,3,9
00081_2_6.png,2,6
00082_0_7.png,0,7
00083_0_4.png,0,4
00084_2_3.png,2,3
00085_7_7.png,7,7
00086_6_6.png,6,6
00087_0_2.png,0,2
00088_2_9.png,2,9
00089_4_9.png,4,9
00090_7_8.png,7,8
00091_0_7.png,0,7
00092_0_9.png,0,9
00093_1_9.png,1,9
00094_2_5.png,2,5
00095_7_7.png,7,7
00096_3_8.png,3,8
00097_3_4.png,3,4
00098_3_3.png,3,3
00099_1_4.png,1,4
00100_3_6.png,3,6
00101_6_6.png,6,6
00102_3_8.png,3,8
00103_3_3.png,3,3
00104_1_6.png,1,6
00105_4_9.png,4,9
00106_0_6.png,0,6
00107_3_6.png,3,6
00108_4_6.png,4,6
00109_0_8.png,0,8
00110_0_2.png,0,2
00111_3_4.png,3,4
00112_2_7.png,2,7
00113_0_7.png,0,7
00114_3_3.png,3,3
